			tree	tree	kappa	kappa	p	p	q	q	p_k1	p_k1	p_k2	p_k2	p_k3	p_k3	p_k4	p_k4	p_k5	p_k5	p_k6	p_k6	p_k7	p_k7	p_k8	p_k8	p_k9	p_k9	p_k10	p_k10	w_k1	w_k1	w_k2	w_k2	w_k3	w_k3	w_k4	w_k4	w_k5	w_k5	w_k6	w_k6	w_k7	w_k7	w_k8	w_k8	w_k9	w_k9	w_k10	w_k10
GPAM	8.0	mix_1	8.429	(7.966, 8.882)	3.659	(3.359, 3.989)	2.73	(2.118, 3.38)	9.351	(7.141, 12.216)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.064	(0.05, 0.078)	0.106	(0.092, 0.121)	0.138	(0.125, 0.15)	0.167	(0.155, 0.177)	0.196	(0.184, 0.205)	0.226	(0.211, 0.237)	0.259	(0.241, 0.273)	0.299	(0.276, 0.318)	0.351	(0.321, 0.378)	0.443	(0.401, 0.482)
GPAM	8.0	mix_2	12.784	(12.253, 13.241)	3.733	(3.452, 4.001)	6.168	(4.572, 8.242)	5.274	(3.65, 7.338)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.301	(0.27, 0.333)	0.386	(0.359, 0.411)	0.44	(0.418, 0.464)	0.484	(0.463, 0.509)	0.523	(0.5, 0.549)	0.561	(0.537, 0.589)	0.6	(0.575, 0.632)	0.643	(0.614, 0.679)	0.693	(0.657, 0.736)	0.77	(0.725, 0.819)
GPAM	8.0	mix_3	16.648	(15.864, 17.538)	3.729	(3.484, 3.971)	4.942	(0.099, 8.651)	1.059	(0.006, 1.996)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.537	(0.472, 0.616)	0.693	(0.63, 1.0)	0.756	(0.705, 1.0)	0.802	(0.758, 1.0)	0.844	(0.797, 1.0)	0.879	(0.834, 1.0)	0.906	(0.864, 1.0)	0.937	(0.893, 1.0)	0.963	(0.926, 1.0)	0.985	(0.962, 1.0)
GPAM	8.0	mix_4	12.272	(11.786, 12.744)	3.705	(3.35, 4.073)	1.75	(1.527, 2.042)	1.741	(1.432, 2.122)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.118	(0.099, 0.137)	0.229	(0.205, 0.249)	0.315	(0.29, 0.337)	0.393	(0.364, 0.419)	0.466	(0.437, 0.496)	0.538	(0.509, 0.573)	0.612	(0.578, 0.651)	0.689	(0.655, 0.73)	0.775	(0.736, 0.815)	0.884	(0.849, 0.916)
GPAM	8.0	mix_5	15.525	(14.885, 16.06)	3.665	(3.4, 3.948)	3.307	(2.346, 4.318)	1.251	(0.785, 1.776)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.367	(0.317, 0.409)	0.524	(0.48, 0.555)	0.614	(0.573, 0.648)	0.682	(0.644, 0.722)	0.74	(0.701, 0.786)	0.791	(0.751, 0.842)	0.838	(0.798, 0.89)	0.881	(0.843, 0.931)	0.924	(0.889, 0.965)	0.969	(0.944, 0.991)
HSPA4	1.0	mix_1	5.261	(4.98, 5.511)	3.357	(2.987, 3.721)	3.997	(2.749, 6.643)	16.009	(10.784, 26.322)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.074	(0.055, 0.096)	0.109	(0.091, 0.128)	0.134	(0.117, 0.15)	0.157	(0.142, 0.172)	0.179	(0.165, 0.194)	0.201	(0.186, 0.216)	0.226	(0.207, 0.243)	0.255	(0.232, 0.276)	0.294	(0.261, 0.321)	0.364	(0.311, 0.405)
HSPA4	1.0	mix_2	7.887	(7.472, 8.275)	3.318	(2.943, 3.63)	20.983	(7.668, 79.856)	20.986	(7.636, 79.376)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.358	(0.293, 0.44)	0.409	(0.362, 0.465)	0.441	(0.403, 0.482)	0.466	(0.434, 0.5)	0.489	(0.461, 0.519)	0.511	(0.478, 0.543)	0.534	(0.496, 0.567)	0.56	(0.514, 0.597)	0.591	(0.535, 0.635)	0.643	(0.564, 0.702)
HSPA4	1.0	mix_3	10.49	(10.017, 11.069)	3.277	(2.916, 3.616)	33.351	(4.464, 99.0)	8.159	(0.832, 28.124)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.64	(0.535, 0.782)	0.71	(0.636, 0.81)	0.746	(0.689, 0.824)	0.774	(0.727, 0.834)	0.797	(0.753, 0.867)	0.818	(0.773, 0.9)	0.844	(0.782, 0.928)	0.868	(0.803, 0.957)	0.889	(0.816, 0.977)	0.919	(0.837, 0.994)
HSPA4	1.0	mix_4	7.633	(7.205, 8.128)	3.355	(3.021, 3.788)	2.098	(1.728, 2.581)	2.407	(1.859, 3.095)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.127	(0.103, 0.151)	0.226	(0.2, 0.249)	0.3	(0.277, 0.323)	0.367	(0.348, 0.387)	0.43	(0.406, 0.456)	0.492	(0.465, 0.525)	0.557	(0.528, 0.595)	0.627	(0.594, 0.67)	0.709	(0.671, 0.757)	0.824	(0.781, 0.87)
HSPA4	1.0	mix_5	9.691	(9.282, 10.102)	3.335	(3.052, 3.632)	5.093	(3.263, 8.076)	2.227	(1.252, 3.654)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.4	(0.339, 0.467)	0.524	(0.475, 0.565)	0.595	(0.551, 0.634)	0.65	(0.608, 0.697)	0.698	(0.654, 0.755)	0.741	(0.697, 0.804)	0.783	(0.736, 0.848)	0.824	(0.778, 0.889)	0.869	(0.821, 0.93)	0.926	(0.879, 0.972)
HSPA4	2.0	mix_1	5.434	(5.142, 5.677)	3.636	(3.157, 4.086)	3.909	(2.725, 5.958)	15.449	(10.329, 23.445)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.074	(0.056, 0.095)	0.109	(0.092, 0.127)	0.135	(0.119, 0.15)	0.158	(0.142, 0.174)	0.18	(0.165, 0.196)	0.203	(0.187, 0.218)	0.228	(0.212, 0.244)	0.258	(0.239, 0.278)	0.298	(0.27, 0.325)	0.368	(0.324, 0.412)
HSPA4	2.0	mix_2	8.192	(7.774, 8.608)	3.582	(3.134, 3.985)	14.731	(5.963, 45.856)	14.397	(6.099, 42.063)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.342	(0.274, 0.43)	0.401	(0.356, 0.463)	0.437	(0.407, 0.483)	0.467	(0.443, 0.502)	0.494	(0.469, 0.528)	0.52	(0.491, 0.554)	0.546	(0.513, 0.582)	0.576	(0.529, 0.616)	0.612	(0.553, 0.659)	0.67	(0.594, 0.731)
HSPA4	2.0	mix_3	11.007	(10.477, 11.5)	3.55	(3.199, 3.851)	14.234	(1.054, 99.0)	3.567	(0.135, 23.93)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.587	(0.489, 0.734)	0.693	(0.622, 0.901)	0.745	(0.686, 0.922)	0.783	(0.726, 0.957)	0.814	(0.755, 0.977)	0.842	(0.776, 0.989)	0.867	(0.801, 0.996)	0.892	(0.812, 0.999)	0.918	(0.833, 1.0)	0.95	(0.86, 1.0)
HSPA4	2.0	mix_4	7.928	(7.522, 8.362)	3.596	(3.216, 3.996)	1.941	(1.614, 2.477)	2.159	(1.704, 2.726)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.12	(0.097, 0.144)	0.222	(0.197, 0.252)	0.3	(0.278, 0.33)	0.37	(0.347, 0.4)	0.437	(0.411, 0.469)	0.503	(0.472, 0.537)	0.571	(0.536, 0.606)	0.644	(0.605, 0.681)	0.728	(0.687, 0.769)	0.843	(0.802, 0.882)
HSPA4	2.0	mix_5	10.08	(9.589, 10.638)	3.59	(3.18, 4.049)	4.5	(3.232, 6.857)	1.97	(1.343, 3.093)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.383	(0.325, 0.443)	0.508	(0.464, 0.556)	0.585	(0.545, 0.626)	0.644	(0.604, 0.682)	0.695	(0.655, 0.737)	0.742	(0.696, 0.787)	0.786	(0.737, 0.834)	0.83	(0.779, 0.878)	0.877	(0.824, 0.921)	0.934	(0.886, 0.967)
HSPA4	4.0	mix_1	5.536	(5.239, 5.81)	3.731	(3.347, 4.149)	3.226	(2.341, 4.328)	12.388	(8.76, 16.935)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.066	(0.051, 0.082)	0.104	(0.089, 0.12)	0.132	(0.117, 0.147)	0.157	(0.142, 0.171)	0.181	(0.166, 0.197)	0.207	(0.191, 0.223)	0.235	(0.218, 0.252)	0.269	(0.246, 0.293)	0.313	(0.287, 0.347)	0.392	(0.358, 0.439)
HSPA4	4.0	mix_2	8.389	(7.934, 9.011)	3.704	(3.34, 4.122)	7.948	(4.99, 13.059)	7.588	(4.61, 12.638)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.303	(0.258, 0.354)	0.377	(0.34, 0.416)	0.424	(0.391, 0.457)	0.462	(0.435, 0.491)	0.496	(0.472, 0.522)	0.53	(0.504, 0.559)	0.564	(0.535, 0.598)	0.602	(0.565, 0.643)	0.648	(0.606, 0.697)	0.72	(0.666, 0.777)
HSPA4	4.0	mix_3	11.137	(10.657, 11.794)	3.719	(3.371, 4.02)	5.708	(0.123, 10.271)	1.384	(0.006, 2.884)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.533	(0.468, 0.61)	0.679	(0.61, 1.0)	0.743	(0.687, 1.0)	0.791	(0.738, 1.0)	0.829	(0.776, 1.0)	0.863	(0.806, 1.0)	0.892	(0.834, 1.0)	0.92	(0.864, 1.0)	0.947	(0.893, 1.0)	0.976	(0.932, 1.0)
HSPA4	4.0	mix_4	8.039	(7.593, 8.521)	3.725	(3.418, 4.232)	1.856	(1.521, 2.361)	2.031	(1.616, 2.699)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.116	(0.089, 0.143)	0.219	(0.187, 0.247)	0.299	(0.266, 0.328)	0.371	(0.337, 0.405)	0.44	(0.409, 0.471)	0.508	(0.472, 0.545)	0.578	(0.54, 0.619)	0.653	(0.609, 0.696)	0.739	(0.689, 0.784)	0.854	(0.804, 0.895)
HSPA4	4.0	mix_5	10.183	(9.608, 10.667)	3.769	(3.369, 4.168)	3.65	(2.526, 5.286)	1.56	(0.98, 2.436)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.354	(0.299, 0.413)	0.494	(0.444, 0.541)	0.58	(0.533, 0.623)	0.647	(0.604, 0.691)	0.704	(0.663, 0.751)	0.755	(0.709, 0.806)	0.803	(0.756, 0.858)	0.85	(0.805, 0.903)	0.898	(0.857, 0.945)	0.952	(0.918, 0.983)
HSPA4	8.0	mix_1	5.394	(5.113, 5.714)	3.764	(3.341, 4.158)	2.803	(1.935, 4.14)	10.046	(6.795, 14.527)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.063	(0.046, 0.084)	0.103	(0.084, 0.122)	0.133	(0.114, 0.152)	0.161	(0.144, 0.178)	0.189	(0.173, 0.203)	0.218	(0.202, 0.233)	0.25	(0.234, 0.27)	0.288	(0.267, 0.315)	0.338	(0.31, 0.375)	0.428	(0.382, 0.484)
HSPA4	8.0	mix_2	8.329	(7.848, 8.873)	3.75	(3.292, 4.192)	6.894	(4.396, 13.078)	6.242	(3.906, 11.149)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.299	(0.252, 0.37)	0.379	(0.346, 0.427)	0.43	(0.402, 0.462)	0.471	(0.444, 0.499)	0.509	(0.478, 0.537)	0.545	(0.511, 0.573)	0.583	(0.546, 0.614)	0.623	(0.577, 0.659)	0.672	(0.608, 0.713)	0.748	(0.661, 0.799)
HSPA4	8.0	mix_3	11.042	(10.465, 11.683)	3.697	(3.285, 4.122)	5.793	(0.107, 12.378)	1.363	(0.006, 2.945)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.532	(0.457, 0.631)	0.68	(0.612, 1.0)	0.75	(0.691, 1.0)	0.797	(0.74, 1.0)	0.836	(0.782, 1.0)	0.868	(0.814, 1.0)	0.898	(0.844, 1.0)	0.924	(0.872, 1.0)	0.95	(0.902, 1.0)	0.977	(0.939, 1.0)
HSPA4	8.0	mix_4	8.014	(7.631, 8.442)	3.748	(3.468, 4.077)	1.738	(1.478, 2.023)	1.817	(1.467, 2.245)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.112	(0.091, 0.131)	0.219	(0.196, 0.243)	0.303	(0.277, 0.331)	0.379	(0.354, 0.41)	0.452	(0.425, 0.484)	0.523	(0.493, 0.559)	0.596	(0.562, 0.637)	0.674	(0.636, 0.716)	0.761	(0.72, 0.802)	0.874	(0.835, 0.908)
HSPA4	8.0	mix_5	10.135	(9.761, 10.561)	3.76	(3.406, 4.171)	3.32	(2.475, 4.446)	1.352	(0.85, 1.979)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.351	(0.307, 0.408)	0.502	(0.46, 0.549)	0.592	(0.549, 0.641)	0.662	(0.613, 0.718)	0.721	(0.672, 0.783)	0.773	(0.722, 0.837)	0.821	(0.768, 0.884)	0.867	(0.814, 0.925)	0.913	(0.865, 0.96)	0.962	(0.928, 0.989)
MEP1A	1.0	mix_1	7.965	(7.561, 8.289)	3.041	(2.85, 3.312)	4.055	(2.914, 5.958)	16.044	(10.863, 23.85)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.076	(0.061, 0.094)	0.111	(0.095, 0.126)	0.136	(0.123, 0.149)	0.159	(0.148, 0.171)	0.181	(0.169, 0.192)	0.203	(0.19, 0.215)	0.228	(0.213, 0.242)	0.257	(0.237, 0.274)	0.296	(0.268, 0.318)	0.364	(0.324, 0.403)
MEP1A	1.0	mix_2	11.904	(11.223, 12.37)	3.051	(2.866, 3.25)	18.134	(8.636, 47.385)	18.331	(8.592, 48.754)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.354	(0.305, 0.411)	0.406	(0.374, 0.448)	0.438	(0.409, 0.469)	0.464	(0.437, 0.491)	0.487	(0.46, 0.517)	0.51	(0.484, 0.54)	0.533	(0.505, 0.567)	0.559	(0.526, 0.597)	0.591	(0.545, 0.635)	0.643	(0.577, 0.695)
MEP1A	1.0	mix_3	15.799	(15.317, 16.475)	3.057	(2.836, 3.279)	22.838	(0.199, 98.834)	5.705	(0.01, 23.636)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.633	(0.54, 0.751)	0.713	(0.648, 1.0)	0.748	(0.699, 1.0)	0.775	(0.732, 1.0)	0.798	(0.763, 1.0)	0.825	(0.787, 1.0)	0.848	(0.804, 1.0)	0.868	(0.82, 1.0)	0.891	(0.834, 1.0)	0.922	(0.854, 1.0)
MEP1A	1.0	mix_4	11.551	(10.93, 12.452)	3.067	(2.88, 3.276)	2.014	(1.692, 2.402)	2.268	(1.808, 2.847)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.124	(0.103, 0.149)	0.225	(0.201, 0.252)	0.301	(0.275, 0.324)	0.369	(0.34, 0.396)	0.434	(0.4, 0.466)	0.499	(0.461, 0.534)	0.565	(0.523, 0.603)	0.637	(0.592, 0.68)	0.72	(0.672, 0.766)	0.835	(0.787, 0.876)
MEP1A	1.0	mix_5	14.599	(14.043, 15.241)	3.072	(2.87, 3.313)	4.878	(3.683, 6.576)	2.084	(1.481, 2.99)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.401	(0.352, 0.457)	0.522	(0.481, 0.568)	0.595	(0.554, 0.633)	0.651	(0.614, 0.689)	0.7	(0.661, 0.737)	0.744	(0.704, 0.783)	0.787	(0.745, 0.827)	0.829	(0.787, 0.869)	0.874	(0.834, 0.912)	0.931	(0.897, 0.96)
MEP1A	2.0	mix_1	8.413	(7.999, 8.858)	3.296	(3.063, 3.487)	3.717	(2.75, 5.517)	14.53	(10.452, 20.945)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.072	(0.058, 0.095)	0.108	(0.095, 0.126)	0.135	(0.122, 0.15)	0.158	(0.146, 0.172)	0.181	(0.169, 0.194)	0.205	(0.192, 0.218)	0.231	(0.216, 0.246)	0.262	(0.244, 0.28)	0.302	(0.276, 0.326)	0.375	(0.337, 0.409)
MEP1A	2.0	mix_2	12.647	(11.996, 13.257)	3.301	(3.09, 3.534)	13.543	(7.794, 26.587)	13.289	(7.412, 26.786)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.343	(0.301, 0.396)	0.402	(0.366, 0.437)	0.438	(0.407, 0.464)	0.467	(0.439, 0.491)	0.493	(0.467, 0.515)	0.519	(0.492, 0.542)	0.545	(0.516, 0.572)	0.574	(0.543, 0.608)	0.61	(0.571, 0.653)	0.668	(0.612, 0.724)
MEP1A	2.0	mix_3	16.655	(16.008, 17.438)	3.29	(3.065, 3.51)	13.71	(2.204, 43.568)	3.371	(0.413, 9.438)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.602	(0.518, 0.721)	0.692	(0.64, 0.789)	0.738	(0.695, 0.806)	0.772	(0.734, 0.826)	0.806	(0.762, 0.863)	0.836	(0.793, 0.953)	0.86	(0.813, 0.967)	0.884	(0.836, 0.979)	0.909	(0.857, 0.989)	0.943	(0.885, 0.997)
MEP1A	2.0	mix_4	12.202	(11.73, 12.828)	3.297	(3.07, 3.501)	1.992	(1.699, 2.313)	2.206	(1.779, 2.766)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.124	(0.106, 0.149)	0.226	(0.204, 0.255)	0.304	(0.279, 0.331)	0.373	(0.344, 0.398)	0.438	(0.408, 0.464)	0.504	(0.473, 0.53)	0.571	(0.536, 0.6)	0.643	(0.605, 0.678)	0.726	(0.684, 0.764)	0.841	(0.796, 0.877)
MEP1A	2.0	mix_5	15.297	(14.649, 16.259)	3.318	(3.073, 3.554)	4.396	(3.184, 5.978)	1.874	(1.228, 2.793)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.385	(0.344, 0.436)	0.513	(0.478, 0.554)	0.59	(0.56, 0.626)	0.651	(0.62, 0.686)	0.702	(0.67, 0.743)	0.749	(0.711, 0.796)	0.793	(0.75, 0.843)	0.837	(0.789, 0.887)	0.883	(0.834, 0.929)	0.939	(0.897, 0.972)
MEP1A	4.0	mix_1	8.596	(8.258, 8.908)	3.435	(3.131, 3.72)	3.23	(2.43, 4.415)	12.163	(9.257, 17.546)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.068	(0.054, 0.085)	0.106	(0.092, 0.12)	0.134	(0.121, 0.147)	0.159	(0.148, 0.171)	0.184	(0.174, 0.195)	0.21	(0.199, 0.222)	0.239	(0.224, 0.253)	0.273	(0.253, 0.292)	0.318	(0.289, 0.34)	0.398	(0.353, 0.428)
